canonical_candidate_id,person_id,canonical_candidate,election_year,chamber,district,party,votesmart_candidate_id,votesmart_candidate,match_method,name_score,score_margin,accepted,review_required
AL-1994-house-1-D-STARKEY,ALPERSON-STARKEY,Starkey,1994,house,1,D,5712.0,"Nelson Starkey, Jr.",canonical_person_id_propagation,90.0,24.545,True,False
AL-1994-house-1-R-PHILLIPS,ALPERSON-PHILLIPS,Phillips,1994,house,1,R,,Phillip Bahakel,unmatched,84.0,0.0,False,True
AL-1994-house-2-D-HAMILTON,ALPERSON-HAMILTON,Hamilton,1994,house,2,D,5653.0,James Hamilton,canonical_person_id_propagation,90.0,24.231,True,False
AL-1994-house-3-D-BLACK,ALPERSON-BLACK,Black,1994,house,3,D,,Lucius Black,unmatched,90.0,0.0,False,True
AL-1994-house-3-R-SMALLWOOD,ALPERSON-SMALLWOOD,Smallwood,1994,house,3,R,15955.0,John Smallwood,canonical_person_id_propagation,90.0,26.842,True,False
AL-1994-house-4-D-SMITH,ALPERSON-SMITH,Smith,1994,house,4,D,,Pamela Smith,unmatched,90.0,0.0,False,True
AL-1994-house-4-R-PAPUCCI,ALPERSON-PAPUCCI,Papucci,1994,house,4,R,5694.0,Nelson Papucci,canonical_person_id_propagation,90.0,36.0,True,False
AL-1994-house-5-D-CARTER,ALPERSON-CARTER,Carter,1994,house,5,D,5632.0,Tommy Carter,canonical_person_id_propagation,90.0,0.0,True,False
AL-1994-house-6-D-SCHMITZ,ALPERSON-SCHMITZ,Schmitz,1994,house,6,D,16097.0,Sue Schmitz,canonical_person_id_propagation,90.0,27.818,True,False
AL-1994-house-6-R-JORGENSEN,ALPERSON-JORGENSEN,Jorgensen,1994,house,6,R,5669.0,Lee Jorgensen,canonical_person_id_propagation,95.0,23.0,True,False
AL-1994-house-7-D-LETSON,ALPERSON-LETSON,Letson,1994,house,7,D,,Jody Letson,unmatched,90.0,0.0,False,True
AL-1994-house-7-R-RANDOLPH,ALPERSON-RANDOLPH,Randolph,1994,house,7,R,,"Ralph Bradford, Sr.",unmatched,69.231,0.0,False,False
AL-1994-house-8-D-DUKES,ALPERSON-DUKES,Dukes,1994,house,8,D,5641.0,Bill Dukes,canonical_person_id_propagation,90.0,10.0,True,False
AL-1994-house-8-R-NEW,ALPERSON-NEW,New,1994,house,8,R,,"Demetrius Newton, Sr.",unmatched,90.0,0.0,False,True
AL-1994-house-9-D-PARKER,ALPERSON-PARKER,Parker,1994,house,9,D,,William Parker,unmatched,90.0,0.0,False,True
AL-1994-house-10-D-HANEY,ALPERSON-HANEY,Haney,1994,house,10,D,5655.0,James Haney,canonical_person_id_propagation,90.0,14.0,True,False
AL-1994-house-11-D-DRAKE,ALPERSON-DRAKE,Drake,1994,house,11,D,,Owen Drake,unmatched,90.0,0.0,False,True
AL-1994-house-12-D-MORRISON,ALPERSON-MORRISON,Morrison,1994,house,12,D,5687.0,Neal Morrison,canonical_person_id_propagation,90.0,12.857,True,False
AL-1994-house-12-R-BOWLING,ALPERSON-BOWLING,Bowling,1994,house,12,R,,Randy Hollingsworth,unmatched,64.286,4.286,False,False
AL-1994-house-13-D-HOGAN,ALPERSON-HOGAN,Hogan,1994,house,13,D,5662.0,Thomas Hogan,canonical_person_id_propagation,90.0,18.0,True,False
AL-1994-house-14-D-GUIN,ALPERSON-GUIN,Guin,1994,house,14,D,5650.0,"Ken Guin, Jr.",canonical_person_id_propagation,90.0,12.857,True,False
AL-1994-house-15-D-SHARP,ALPERSON-SHARP,Sharp,1994,house,15,D,,Sharon Powe,unmatched,80.0,8.0,False,True
AL-1994-house-15-R-CURRY,ALPERSON-CURRY,Curry,1994,house,15,R,,Johnny L Curry,unmatched,90.0,22.5,False,True
AL-1994-house-16-D-COLLINS,ALPERSON-COLLINS,Collins,1994,house,16,D,,Terri Collins,unmatched,90.0,12.857,False,True
AL-1994-house-17-D-MILLICAN,ALPERSON-MILLICAN,Millican,1994,house,17,D,5683.0,Michael Millican,canonical_person_id_propagation,90.0,0.0,True,False
AL-1994-house-17-R-HARPER,ALPERSON-HARPER,Harper,1994,house,17,R,,Alan Harper,unmatched,90.0,18.0,False,True
AL-1994-house-18-D-MORROW,ALPERSON-MORROW,Morrow,1994,house,18,D,,Johnny Morrow,unmatched,90.0,0.0,False,True
AL-1994-house-19-D-HALL,ALPERSON-HALL,Hall,1994,house,19,D,,Albert Hall,unmatched,90.0,0.0,False,True
AL-1994-house-19-R-ANDERSON,ALPERSON-ANDERSON,Anderson,1994,house,19,R,,Allen Sanderson,unmatched,90.0,6.0,False,True
AL-1994-house-20-D-SANDERFORD,ALPERSON-SANDERFORD,Sanderford,1994,house,20,D,5706.0,Howard Sanderford,canonical_person_id_propagation,90.0,18.0,True,False
AL-1994-house-21-D-JOHNSTON,ALPERSON-JOHNSTON,Johnston,1994,house,21,D,16109.0,Micah Johnston,canonical_person_id_propagation,90.0,6.0,True,False
AL-1994-house-22-D-HALL,ALPERSON-HALL,Hall,1994,house,22,D,,Albert Hall,unmatched,90.0,0.0,False,True
