model,test_cycle,weight,races,mae,validation_status
no_environment,1994,0.0,67,27.594858613586208,predeclared_schedule
no_environment,1998,0.0,83,26.345106843967834,predeclared_schedule
no_environment,2002,0.0,67,32.24515684653531,predeclared_schedule
no_environment,2006,0.0,58,43.59862194558663,predeclared_schedule
no_environment,2010,0.0,63,25.912239267901132,predeclared_schedule
no_environment,2014,0.0,55,26.887187303797198,predeclared_schedule
no_environment,2018,0.0,64,13.106621690402946,predeclared_schedule
no_environment,2022,0.0,33,12.03204312936364,predeclared_schedule
full_every_cycle,1994,1.0,67,36.97222655897907,predeclared_schedule
full_every_cycle,1998,1.0,83,33.26309577507943,predeclared_schedule
full_every_cycle,2002,1.0,67,35.98913030161777,predeclared_schedule
full_every_cycle,2006,1.0,58,34.15743352102945,predeclared_schedule
full_every_cycle,2010,1.0,63,35.62081210174221,predeclared_schedule
full_every_cycle,2014,1.0,55,32.351082203028724,predeclared_schedule
full_every_cycle,2018,1.0,64,12.46669933722314,predeclared_schedule
full_every_cycle,2022,1.0,33,9.774371997840314,predeclared_schedule
post2016_step,1994,0.0,67,27.594858613586208,predeclared_schedule
post2016_step,1998,0.0,83,26.345106843967834,predeclared_schedule
post2016_step,2002,0.0,67,32.24515684653531,predeclared_schedule
post2016_step,2006,0.0,58,43.59862194558663,predeclared_schedule
post2016_step,2010,0.0,63,25.912239267901132,predeclared_schedule
post2016_step,2014,0.0,55,26.887187303797198,predeclared_schedule
post2016_step,2018,1.0,64,12.46669933722314,predeclared_schedule
post2016_step,2022,1.0,33,9.774371997840314,predeclared_schedule
post2016_ramp,1994,0.0,67,27.594858613586208,predeclared_schedule
post2016_ramp,1998,0.0,83,26.345106843967834,predeclared_schedule
post2016_ramp,2002,0.0,67,32.24515684653531,predeclared_schedule
post2016_ramp,2006,0.0,58,43.59862194558663,predeclared_schedule
post2016_ramp,2010,0.0,63,25.912239267901132,predeclared_schedule
post2016_ramp,2014,0.0,55,26.887187303797198,predeclared_schedule
post2016_ramp,2018,0.5,64,12.477850491265727,predeclared_schedule
post2016_ramp,2022,1.0,33,9.774371997840314,predeclared_schedule
descriptive_cycle_optimum,1994,0.0,67,27.594858613586208,descriptive_in_sample
descriptive_cycle_optimum,1998,0.0,83,26.345106843967834,descriptive_in_sample
descriptive_cycle_optimum,2002,0.0,67,32.24515684653531,descriptive_in_sample
descriptive_cycle_optimum,2006,3.0,58,23.373216354583096,descriptive_in_sample
descriptive_cycle_optimum,2010,0.0,63,25.912239267901132,descriptive_in_sample
descriptive_cycle_optimum,2014,0.0,55,26.887187303797198,descriptive_in_sample
descriptive_cycle_optimum,2018,0.7275,64,12.397159839667111,descriptive_in_sample
descriptive_cycle_optimum,2022,1.2575,33,9.60912884370568,descriptive_in_sample
